,AP EuroHis interest (scaled),EuroHis interest (scaled)
0,0.5666666666666667,0.8924731182795699
1,0.38333333333333336,0.7956989247311829
2,0.31666666666666665,0.6451612903225806
3,0.6166666666666667,0.8817204301075269
4,0.7333333333333334,1.0000000000000002
5,0.05,0.2473118279569893
6,0.016666666666666663,0.19354838709677424
7,0.15000000000000002,0.40860215053763443
8,0.3,0.6344086021505376
9,0.3,0.6451612903225806
10,0.2833333333333333,0.6344086021505376
11,0.26666666666666666,0.5483870967741935
12,0.33333333333333337,0.5913978494623656
13,0.2833333333333333,0.5376344086021505
14,0.2,0.5161290322580645
15,0.5833333333333334,0.8387096774193549
16,0.7,0.7849462365591399
17,0.05,0.23655913978494625
18,0.0,0.13978494623655918
19,0.09999999999999999,0.2795698924731183
20,0.23333333333333334,0.45161290322580655
21,0.26666666666666666,0.48387096774193555
22,0.21666666666666667,0.43010752688172044
23,0.21666666666666667,0.43010752688172044
24,0.3,0.46236559139784955
25,0.18333333333333335,0.47311827956989255
26,0.25,0.45161290322580655
27,0.43333333333333335,0.5053763440860215
28,0.6,0.5913978494623656
29,0.016666666666666663,0.19354838709677424
30,0.03333333333333334,0.10752688172043011
31,0.09999999999999999,0.17204301075268819
32,0.23333333333333334,0.32258064516129037
33,0.25,0.40860215053763443
34,0.21666666666666667,0.30107526881720437
35,0.21666666666666667,0.2580645161290323
36,0.23333333333333334,0.2903225806451613
37,0.15000000000000002,0.2688172043010753
38,0.18333333333333335,0.32258064516129037
39,0.3,0.34408602150537637
40,0.6833333333333333,0.5268817204301075
41,0.016666666666666663,0.10752688172043011
42,0.0,0.0860215053763441
43,0.08333333333333333,0.16129032258064518
44,0.18333333333333335,0.23655913978494625
45,0.23333333333333334,0.2903225806451613
46,0.18333333333333335,0.31182795698924737
47,0.18333333333333335,0.2580645161290323
48,0.25,0.2473118279569893
49,0.16666666666666669,0.2580645161290323
50,0.16666666666666669,0.2473118279569893
51,0.35000000000000003,0.34408602150537637
52,0.6166666666666667,0.4193548387096775
53,0.016666666666666663,0.11827956989247314
54,0.016666666666666663,0.05376344086021505
55,0.09999999999999999,0.12903225806451613
56,0.23333333333333334,0.23655913978494625
57,0.18333333333333335,0.2473118279569893
58,0.16666666666666669,0.20430107526881724
59,0.13333333333333336,0.20430107526881724
60,0.2,0.21505376344086025
61,0.2,0.2580645161290323
62,0.21666666666666667,0.2473118279569893
63,0.3666666666666667,0.31182795698924737
64,0.6333333333333333,0.44086021505376344
65,0.03333333333333334,0.0860215053763441
66,0.016666666666666663,0.043010752688172046
67,0.06666666666666667,0.09677419354838711
68,0.2,0.23655913978494625
69,0.2,0.2473118279569893
70,0.16666666666666669,0.2580645161290323
71,0.13333333333333336,0.1827956989247312
72,0.23333333333333334,0.21505376344086025
73,0.18333333333333335,0.23655913978494625
74,0.21666666666666667,0.2473118279569893
75,0.3666666666666667,0.30107526881720437
76,0.5666666666666667,0.37634408602150543
77,0.016666666666666663,0.0860215053763441
78,0.016666666666666663,0.043010752688172046
79,0.05,0.07526881720430108
80,0.15000000000000002,0.17204301075268819
81,0.16666666666666669,0.1827956989247312
82,0.13333333333333336,0.17204301075268819
83,0.15000000000000002,0.13978494623655918
84,0.23333333333333334,0.20430107526881724
85,0.2,0.21505376344086025
86,0.23333333333333334,0.19354838709677424
87,0.44999999999999996,0.2688172043010753
88,0.5666666666666667,0.30107526881720437
89,0.016666666666666663,0.06451612903225808
90,0.03333333333333334,0.043010752688172046
91,0.06666666666666667,0.0860215053763441
92,0.21666666666666667,0.1827956989247312
93,0.23333333333333334,0.20430107526881724
94,0.21666666666666667,0.17204301075268819
95,0.2,0.16129032258064518
96,0.26666666666666666,0.19354838709677424
97,0.23333333333333334,0.17204301075268819
98,0.25,0.16129032258064518
99,0.3666666666666667,0.22580645161290325
100,0.6833333333333333,0.30107526881720437
101,0.016666666666666663,0.043010752688172046
102,0.03333333333333334,0.043010752688172046
103,0.09999999999999999,0.0860215053763441
104,0.25,0.1827956989247312
105,0.25,0.15053763440860218
106,0.21666666666666667,0.13978494623655918
107,0.23333333333333334,0.15053763440860218
108,0.31666666666666665,0.15053763440860218
109,0.31666666666666665,0.17204301075268819
110,0.2833333333333333,0.1827956989247312
111,0.43333333333333335,0.20430107526881724
112,0.8,0.33333333333333337
113,0.016666666666666663,0.043010752688172046
114,0.03333333333333334,0.02150537634408603
115,0.08333333333333333,0.06451612903225808
116,0.2833333333333333,0.19354838709677424
117,0.38333333333333336,0.20430107526881724
118,0.33333333333333337,0.16129032258064518
119,0.31666666666666665,0.13978494623655918
120,0.4166666666666667,0.17204301075268819
121,0.4666666666666667,0.1827956989247312
122,0.44999999999999996,0.17204301075268819
123,0.55,0.19354838709677424
124,1.0,0.31182795698924737
125,0.03333333333333334,0.043010752688172046
126,0.03333333333333334,0.043010752688172046
127,0.15000000000000002,0.0860215053763441
128,0.4,0.1827956989247312
129,0.43333333333333335,0.1827956989247312
130,0.4166666666666667,0.13978494623655918
131,0.4,0.12903225806451613
132,0.5,0.16129032258064518
133,0.5,0.17204301075268819
134,0.55,0.17204301075268819
135,0.7166666666666667,0.20430107526881724
136,0.8666666666666667,0.2580645161290323
137,0.05,0.043010752688172046
138,0.05,0.032258064516129045
139,0.16666666666666669,0.07526881720430108
140,0.3666666666666667,0.1827956989247312
141,0.44999999999999996,0.1827956989247312
142,0.43333333333333335,0.12903225806451613
143,0.38333333333333336,0.15053763440860218
144,0.5166666666666667,0.17204301075268819
145,0.5666666666666667,0.17204301075268819
146,0.5166666666666667,0.15053763440860218
147,0.7666666666666667,0.19354838709677424
148,0.6833333333333333,0.22580645161290325
149,0.03333333333333334,0.07526881720430108
150,0.05,0.032258064516129045
151,0.16666666666666669,0.06451612903225808
152,0.4,0.16129032258064518
153,0.43333333333333335,0.12903225806451613
154,0.4,0.11827956989247314
155,0.4,0.12903225806451613
156,0.4833333333333334,0.13978494623655918
157,0.4666666666666667,0.17204301075268819
158,0.5,0.15053763440860218
159,0.5666666666666667,0.17204301075268819
160,0.95,0.2473118279569893
161,0.03333333333333334,0.02150537634408603
162,0.03333333333333334,0.05376344086021505
163,0.13333333333333336,0.12903225806451613
164,0.31666666666666665,0.15053763440860218
165,0.43333333333333335,0.15053763440860218
166,0.38333333333333336,0.12903225806451613
167,0.35000000000000003,0.10752688172043011
168,0.4,0.11827956989247314
