,AP ComputerScience interest (scaled),ComputerScience interest (scaled)
0,0.10112359550561797,0.9365079365079365
1,0.10112359550561797,1.0
2,0.21348314606741572,0.746031746031746
3,0.4382022471910112,0.9523809523809523
4,0.21348314606741572,0.6190476190476191
5,0.10112359550561797,0.4920634920634921
6,0.10112359550561797,0.4920634920634921
7,0.10112359550561797,0.523809523809524
8,0.10112359550561797,0.6825396825396826
9,0.10112359550561797,0.7777777777777779
10,0.10112359550561797,0.6349206349206349
11,0.10112359550561797,0.5079365079365079
12,0.21348314606741572,0.5873015873015872
13,0.10112359550561797,0.6507936507936509
14,0.21348314606741572,0.4920634920634921
15,0.4382022471910112,0.5714285714285714
16,0.10112359550561797,0.3492063492063493
17,0.10112359550561797,0.2063492063492064
18,0.0,0.25396825396825395
19,0.10112359550561797,0.3492063492063493
20,0.10112359550561797,0.39682539682539686
21,0.10112359550561797,0.4285714285714286
22,0.10112359550561797,0.4126984126984128
23,0.10112359550561797,0.3015873015873016
24,0.10112359550561797,0.39682539682539686
25,0.10112359550561797,0.31746031746031744
26,0.10112359550561797,0.3015873015873016
27,0.3258426966292135,0.3650793650793651
28,0.21348314606741572,0.22222222222222232
29,0.10112359550561797,0.06349206349206349
30,0.10112359550561797,0.0
31,0.0,0.17460317460317465
32,0.10112359550561797,0.31746031746031744
33,0.0,0.2857142857142858
34,0.10112359550561797,0.25396825396825395
35,0.10112359550561797,0.11111111111111116
36,0.10112359550561797,0.25396825396825395
37,0.10112359550561797,0.22222222222222232
38,0.10112359550561797,0.15873015873015883
39,0.21348314606741572,0.22222222222222232
40,0.21348314606741572,0.2063492063492064
41,0.0,0.09523809523809534
42,0.0,0.031746031746031855
43,0.0,0.22222222222222232
44,0.10112359550561797,0.3650793650793651
45,0.10112359550561797,0.3650793650793651
46,0.10112359550561797,0.3015873015873016
47,0.10112359550561797,0.1428571428571429
48,0.10112359550561797,0.3492063492063493
49,0.10112359550561797,0.31746031746031744
50,0.10112359550561797,0.2698412698412699
51,0.21348314606741572,0.25396825396825395
52,0.21348314606741572,0.12698412698412698
53,0.0,0.06349206349206349
54,0.0,0.04761904761904767
55,0.0,0.1428571428571429
56,0.10112359550561797,0.3492063492063493
57,0.10112359550561797,0.3015873015873016
58,0.10112359550561797,0.25396825396825395
59,0.10112359550561797,0.1428571428571429
60,0.10112359550561797,0.3015873015873016
61,0.10112359550561797,0.3650793650793651
62,0.10112359550561797,0.33333333333333337
63,0.21348314606741572,0.33333333333333337
64,0.21348314606741572,0.23809523809523814
65,0.0,0.15873015873015883
66,0.0,0.09523809523809534
67,0.0,0.2698412698412699
68,0.10112359550561797,0.5079365079365079
69,0.10112359550561797,0.46031746031746024
70,0.10112359550561797,0.4126984126984128
71,0.0,0.2698412698412699
72,0.10112359550561797,0.3492063492063493
73,0.10112359550561797,0.46031746031746024
74,0.10112359550561797,0.39682539682539686
75,0.3258426966292135,0.4444444444444444
76,0.21348314606741572,0.31746031746031744
77,0.0,0.17460317460317465
78,0.0,0.031746031746031855
79,0.0,0.31746031746031744
80,0.0,0.39682539682539686
81,0.10112359550561797,0.39682539682539686
82,0.0,0.38095238095238093
83,0.10112359550561797,0.22222222222222232
84,0.10112359550561797,0.2698412698412699
85,0.10112359550561797,0.25396825396825395
86,0.10112359550561797,0.2063492063492064
87,0.21348314606741572,0.2698412698412699
88,0.21348314606741572,0.19047619047619047
89,0.0,0.06349206349206349
90,0.0,0.015873015873015928
91,0.10112359550561797,0.17460317460317465
92,0.10112359550561797,0.33333333333333337
93,0.10112359550561797,0.33333333333333337
94,0.10112359550561797,0.33333333333333337
95,0.10112359550561797,0.15873015873015883
96,0.10112359550561797,0.31746031746031744
97,0.10112359550561797,0.31746031746031744
98,0.10112359550561797,0.25396825396825395
99,0.3258426966292135,0.3492063492063493
100,0.3258426966292135,0.25396825396825395
101,0.10112359550561797,0.06349206349206349
102,0.10112359550561797,0.015873015873015928
103,0.10112359550561797,0.22222222222222232
104,0.10112359550561797,0.3492063492063493
105,0.10112359550561797,0.31746031746031744
106,0.10112359550561797,0.2698412698412699
107,0.10112359550561797,0.17460317460317465
108,0.10112359550561797,0.33333333333333337
109,0.10112359550561797,0.38095238095238093
110,0.21348314606741572,0.3492063492063493
111,0.3258426966292135,0.4444444444444444
112,0.3258426966292135,0.2857142857142858
113,0.10112359550561797,0.09523809523809534
114,0.10112359550561797,0.07936507936507942
115,0.10112359550561797,0.25396825396825395
116,0.10112359550561797,0.4444444444444444
117,0.10112359550561797,0.4920634920634921
118,0.10112359550561797,0.4285714285714286
119,0.10112359550561797,0.31746031746031744
120,0.10112359550561797,0.4761904761904763
121,0.21348314606741572,0.4761904761904763
122,0.21348314606741572,0.4285714285714286
123,0.4382022471910112,0.5873015873015872
124,0.4382022471910112,0.39682539682539686
125,0.10112359550561797,0.19047619047619047
126,0.10112359550561797,0.22222222222222232
127,0.10112359550561797,0.39682539682539686
128,0.10112359550561797,0.6031746031746033
129,0.10112359550561797,0.6031746031746033
130,0.10112359550561797,0.5873015873015872
131,0.10112359550561797,0.4285714285714286
132,0.21348314606741572,0.6031746031746033
133,0.21348314606741572,0.5555555555555556
134,0.3258426966292135,0.6031746031746033
135,0.550561797752809,0.7619047619047619
136,0.550561797752809,0.5079365079365079
137,0.10112359550561797,0.2857142857142858
138,0.10112359550561797,0.22222222222222232
139,0.10112359550561797,0.523809523809524
140,0.21348314606741572,0.6984126984126984
141,0.10112359550561797,0.7301587301587302
142,0.10112359550561797,0.6666666666666667
143,0.10112359550561797,0.4920634920634921
144,0.21348314606741572,0.5079365079365079
145,0.21348314606741572,0.5714285714285714
146,0.3258426966292135,0.5873015873015872
147,0.6629213483146067,0.7301587301587302
148,0.4382022471910112,0.4920634920634921
149,0.10112359550561797,0.22222222222222232
150,0.10112359550561797,0.12698412698412698
151,0.10112359550561797,0.3492063492063493
152,0.10112359550561797,0.6031746031746033
153,0.10112359550561797,0.6031746031746033
154,0.10112359550561797,0.6031746031746033
155,0.21348314606741572,0.4920634920634921
156,0.21348314606741572,0.6507936507936509
157,0.3258426966292135,0.6825396825396826
158,0.3258426966292135,0.7301587301587302
159,0.7752808988764044,0.8253968253968254
160,0.4382022471910112,0.5873015873015872
161,0.10112359550561797,0.31746031746031744
162,0.10112359550561797,0.25396825396825395
163,0.10112359550561797,0.4761904761904763
164,0.10112359550561797,0.6349206349206349
165,0.10112359550561797,0.7619047619047619
166,0.21348314606741572,0.6825396825396826
167,0.21348314606741572,0.4920634920634921
168,0.21348314606741572,0.6190476190476191
169,0.3258426966292135,0.6031746031746033
170,0.3258426966292135,0.6031746031746033
171,0.550561797752809,0.7777777777777779
172,0.7752808988764044,0.6507936507936509
173,0.10112359550561797,0.2698412698412699
174,0.10112359550561797,0.23809523809523814
175,0.10112359550561797,0.5396825396825398
176,0.21348314606741572,0.6666666666666667
177,0.21348314606741572,0.7777777777777779
178,0.21348314606741572,0.6825396825396826
179,0.21348314606741572,0.4761904761904763
180,0.21348314606741572,0.6825396825396826
181,0.3258426966292135,0.6507936507936509
182,0.3258426966292135,0.6825396825396826
183,0.550561797752809,0.8095238095238095
184,1.0,0.6190476190476191
185,0.10112359550561797,0.2857142857142858
186,0.10112359550561797,0.23809523809523814
187,0.10112359550561797,0.523809523809524
188,0.21348314606741572,0.8095238095238095
189,0.21348314606741572,0.8412698412698412
190,0.21348314606741572,0.6984126984126984
191,0.10112359550561797,0.4761904761904763
192,0.21348314606741572,0.6825396825396826
193,0.21348314606741572,0.7142857142857142
