,AP Macro interest (scaled),Macro interest (scaled)
0,0.08974358974358973,0.6578947368421052
1,0.12820512820512822,0.7236842105263158
2,0.07692307692307693,0.7894736842105262
3,0.12820512820512822,0.9605263157894736
4,0.2692307692307692,0.9736842105263158
5,0.02564102564102564,0.32894736842105265
6,0.02564102564102564,0.21052631578947367
7,0.0,0.39473684210526316
8,0.02564102564102564,0.631578947368421
9,0.02564102564102564,0.5789473684210525
10,0.03846153846153846,0.7368421052631579
11,0.05128205128205129,0.6578947368421052
12,0.08974358974358973,0.6578947368421052
13,0.07692307692307693,0.6710526315789473
14,0.03846153846153846,0.5394736842105263
15,0.0641025641025641,0.5657894736842105
16,0.23076923076923075,0.5921052631578947
17,0.0641025641025641,0.26315789473684215
18,0.0,0.2763157894736842
19,0.02564102564102564,0.36842105263157887
20,0.02564102564102564,0.4342105263157895
21,0.02564102564102564,0.42105263157894735
22,0.07692307692307693,0.4473684210526315
23,0.05128205128205129,0.5
24,0.08974358974358973,0.48684210526315785
25,0.07692307692307693,0.5394736842105263
26,0.11538461538461539,0.5263157894736842
27,0.12820512820512822,0.6052631578947368
28,0.20512820512820512,0.5394736842105263
29,0.012820512820512824,0.30263157894736836
30,0.012820512820512824,0.11842105263157893
31,0.012820512820512824,0.2763157894736842
32,0.0641025641025641,0.6184210526315789
33,0.05128205128205129,0.4078947368421052
34,0.0641025641025641,0.36842105263157887
35,0.08974358974358973,0.39473684210526316
36,0.08974358974358973,0.5263157894736842
37,0.03846153846153846,0.48684210526315785
38,0.05128205128205129,0.36842105263157887
39,0.07692307692307693,0.4736842105263158
40,0.28205128205128205,0.4605263157894737
41,0.0,0.11842105263157893
42,0.012820512820512824,0.11842105263157893
43,0.02564102564102564,0.36842105263157887
44,0.05128205128205129,0.4736842105263158
45,0.02564102564102564,0.48684210526315785
46,0.03846153846153846,0.42105263157894735
47,0.07692307692307693,0.32894736842105265
48,0.10256410256410256,0.5921052631578947
49,0.07692307692307693,0.48684210526315785
50,0.07692307692307693,0.42105263157894735
51,0.15384615384615385,0.5263157894736842
52,0.28205128205128205,0.5526315789473684
53,0.012820512820512824,0.17105263157894735
54,0.012820512820512824,0.14473684210526316
55,0.02564102564102564,0.2894736842105263
56,0.02564102564102564,0.6447368421052632
57,0.03846153846153846,0.4736842105263158
58,0.03846153846153846,0.4736842105263158
59,0.07692307692307693,0.4473684210526315
60,0.10256410256410256,0.7499999999999999
61,0.10256410256410256,0.6052631578947368
62,0.11538461538461539,0.42105263157894735
63,0.16666666666666666,0.5921052631578947
64,0.3205128205128205,0.6184210526315789
65,0.012820512820512824,0.23684210526315785
66,0.0,0.1842105263157895
67,0.02564102564102564,0.381578947368421
68,0.0641025641025641,0.7631578947368421
69,0.05128205128205129,0.5921052631578947
70,0.05128205128205129,0.5789473684210525
71,0.07692307692307693,0.6184210526315789
72,0.11538461538461539,0.8157894736842105
73,0.07692307692307693,0.6710526315789473
74,0.11538461538461539,0.6052631578947368
75,0.23076923076923075,0.6973684210526315
76,0.3974358974358974,0.7236842105263158
77,0.012820512820512824,0.23684210526315785
78,0.0,0.09210526315789475
79,0.02564102564102564,0.3421052631578947
80,0.05128205128205129,0.6184210526315789
81,0.0641025641025641,0.513157894736842
82,0.0641025641025641,0.5
83,0.08974358974358973,0.39473684210526316
84,0.15384615384615385,0.7368421052631579
85,0.14102564102564102,0.6578947368421052
86,0.12820512820512822,0.5263157894736842
87,0.23076923076923075,0.6842105263157895
88,0.423076923076923,0.6973684210526315
89,0.02564102564102564,0.26315789473684215
90,0.02564102564102564,0.11842105263157893
91,0.0641025641025641,0.48684210526315785
92,0.10256410256410256,0.6578947368421052
93,0.08974358974358973,0.631578947368421
94,0.12820512820512822,0.631578947368421
95,0.14102564102564102,0.5
96,0.1794871794871795,0.8026315789473685
97,0.16666666666666666,0.8157894736842105
98,0.20512820512820512,0.7105263157894736
99,0.2948717948717948,0.7631578947368421
100,0.6025641025641025,0.8157894736842105
101,0.02564102564102564,0.21052631578947367
102,0.012820512820512824,0.13157894736842102
103,0.0641025641025641,0.42105263157894735
104,0.11538461538461539,0.7499999999999999
105,0.10256410256410256,0.5921052631578947
106,0.11538461538461539,0.5526315789473684
107,0.15384615384615385,0.5263157894736842
108,0.20512820512820512,0.8815789473684209
109,0.19230769230769232,0.8026315789473685
110,0.20512820512820512,0.5789473684210525
111,0.3974358974358974,0.9210526315789472
112,0.6153846153846153,0.8815789473684209
113,0.03846153846153846,0.1842105263157895
114,0.02564102564102564,0.11842105263157893
115,0.07692307692307693,0.42105263157894735
116,0.15384615384615385,0.7894736842105262
117,0.1794871794871795,0.6842105263157895
118,0.16666666666666666,0.6052631578947368
119,0.21794871794871795,0.631578947368421
120,0.23076923076923075,0.8421052631578948
121,0.21794871794871795,0.9342105263157895
122,0.30769230769230765,0.7236842105263158
123,0.423076923076923,0.9605263157894736
124,0.717948717948718,0.9078947368421052
125,0.03846153846153846,0.1842105263157895
126,0.02564102564102564,0.14473684210526316
127,0.07692307692307693,0.4078947368421052
128,0.20512820512820512,0.8947368421052632
129,0.19230769230769232,0.6578947368421052
130,0.20512820512820512,0.5789473684210525
131,0.21794871794871795,0.5394736842105263
132,0.24358974358974358,0.9078947368421052
133,0.2564102564102564,0.9342105263157895
134,0.3205128205128205,0.8289473684210525
135,0.4871794871794871,0.9605263157894736
136,0.782051282051282,0.9736842105263158
137,0.03846153846153846,0.17105263157894735
138,0.02564102564102564,0.11842105263157893
139,0.10256410256410256,0.4605263157894737
140,0.19230769230769232,0.9473684210526315
141,0.20512820512820512,0.7368421052631579
